episodenbr,title,weekday,broadcastdate,broadcasthour,duration,views,share,AI,chart,summary
613,Resurrection of the Daleks: Part One,Wed,8 Feb 1984,6:49pm,00:46:24,7.30m,,69.0,73,"Davros has been kept in suspended animation aboard a prison space station but now the Daleks have come to collect him, aided by Lytton and his fake 'policemen'."
614,Resurrection of the Daleks: Part Two,Wed,15 Feb 1984,6:52pm,00:46:52,8.00m,,65.0,53,"As survivors of the prison station fight the invaders, Dalek agents on Earth take steps to protect the time corridor being used by the Doctor's friends. And Tegan says goodbye"
615,Planet of Fire: Part One,Thu,23 Feb 1984,6:41pm,00:24:26,7.40m,,,71,"On the planet Sarn, the truth about the god Logar is being sought, while on Earth, Peri wants a break from her stepfather. But the Master has other plans for everyone..."
616,Planet of Fire: Part Two,Fri,24 Feb 1984,6:41pm,00:24:20,6.10m,,,102,"Kamelion has taken the TARDIS to Sarn and is trying to locate his master, while the Doctor explores the mystery of the Misos Triangle - much to Turlough's consternation"
617,Planet of Fire: Part Three,Thu,1 Mar 1984,6:41pm,00:23:57,7.40m,,,67,"Logar is angry and the volcano shakes with his displeasure  according to Timanov, who demands sacrifices to appease his god. Peri discovers the Master's whereabouts..."
618,Planet of Fire: Part Four,Fri,2 Mar 1984,6:41pm,00:24:44,7.00m,,,74,The Doctor is forced to take drastic measures against Kamelion and the Master to stop Sarn being completely destroyed by the numismaton gas that has been released...
619,The Caves of Androzani: Part One,Thu,8 Mar 1984,6:41pm,00:24:33,6.90m,,65.0,66,"Gunrunners on Androzani Minor are supplying the unhinged android-builder, Sharez Jek, with munitions to help his plot to return to power. But not everyone is happy about that"
620,The Caves of Androzani: Part Two,Fri,9 Mar 1984,6:41pm,00:25:00,6.60m,,,75,Military captive Salateen tells Peri and the Doctor they are dying from spectrox toxaemia. The only cure is the milk of the queen bat who sleeps deep below the caverns.
621,The Caves of Androzani: Part Three,Thu,15 Mar 1984,6:42pm,00:24:36,7.80m,,65.0,62,"As Morgus continues to plot his political future on Androzani Major, Sharez Jek insanely believes Peri will fall in love with him. The Doctor is caught by the gunrunners..."
622,The Caves of Androzani: Part Four,Fri,16 Mar 1984,6:41pm,00:25:37,7.80m,,68.0,62,"Morgus is ruined and Jek goes on a murderous rampage. Back in the TARDIS, the 'dying' Doctor manages to cure Peri's spectrox toxaemia and then regenerates..."
623,The Twin Dilemma: Part One,Thu,22 Mar 1984,6:41pm,00:24:42,7.60m,,61.0,66,"The mysterious Professor Edgeworth has kidnapped twin human child genii, Romulus and Remus, and Hugo Lang holds the new Doctor responsible for the destruction of his spaceship."
624,The Twin Dilemma: Part Two,Fri,23 Mar 1984,6:41pm,00:25:09,7.40m,,66.0,71,"On Jaconda, Mestor's cruel domination over the planet's population continues while on Titan Three, the Doctor seems to have been blown up in a booby-trapped building..."
625,The Twin Dilemma: Part Three,Thu,29 Mar 1984,6:41pm,00:24:27,7.00m,,59.0,59,Mestor claims that all he wants is the Sylvest twins to help him repopulate his home planet. But the Doctor knows there's more to this than meets the eye...
626,The Twin Dilemma: Part Four,Fri,30 Mar 1984,6:43pm,00:25:04,7.30m,,67.0,67,Mestor's true plan is revealed and the Doctor's old Gallifreyan friend Azmael comes to the realisation that he has been corrupted long enough by the Gastropod leader...
627,Attack of the Cybermen: Part One,Sat,5 Jan 1985,5:22pm,00:44:17,8.90m,,61.0,71,"The Cybermen are hiding in the London sewers and turning humans into cybernetic slaves. On Telos, two slaves make a bid of freedom and find a way to escape the planet for good."
628,Attack of the Cybermen: Part Two,Sat,12 Jan 1985,5:22pm,00:44:29,7.20m,,65.0,104,"On Telos, the Doctor is reintroduced to the Cyber Leader and meets the Cryons, the planet's original inhabitants who will go to any lengths to get their world back!"
629,Vengeance on Varos: Part One,Sat,19 Jan 1985,5:21pm,00:44:42,7.20m,,63.0,110,"Needing Zeiton 7 ore urgently for the TARDIS, the Doctor takes Peri to Varos. They quickly become part of the sadistic programming that entertains the populace."
630,Vengeance on Varos: Part Two,Sat,26 Jan 1985,5:21pm,00:44:43,7.00m,,65.0,108,"As Peri and Areta begin to transform into a bird and a reptile, the Doctor faces Sil, who has negotiated mining rights on Varos, depriving the Time Lord of what he needs"
631,The Mark of the Rani: Part One,Sat,2 Feb 1985,5:21pm,00:45:01,6.30m,,64.0,111,"People cannot sleep in the town of Killingworth and the Doctor realises it is the work of a renegade Time Lord, the Rani, who has teamed up with the Master to cause chaos"
632,The Mark of the Rani: Part Two,Sat,9 Feb 1985,5:21pm,00:44:32,7.30m,,64.0,84,"George Stephenson and Luke Ward do their best to help the Doctor and Peri, but the Rani has other traps for the unwary, including the ability to turn people into trees"
633,The Two Doctors: Part One,Sat,16 Feb 1985,5:22pm,00:44:22,6.60m,,65.0,92,"The Second Doctor and Jamie visit space station Camera to speak to the scientist Dastari, but the station has a saboteur aboard - Chessene is working with the Sontarans..."
634,The Two Doctors: Part Two,Sat,23 Feb 1985,5:21pm,00:44:49,6.00m,,62.0,90,"The Doctor and Peri meet Jamie and learn the Second Doctor is with the Sontarans in Spain. At a hacienda, Chessene and the Sontarans set up base"
635,The Two Doctors: Part Three,Sat,2 Mar 1985,5:23pm,00:44:45,6.90m,,65.0,66,"Chessene and Shockeye succumb to their baser instincts and revert to their Androgum ways, while the Sontarans prepare the Second Doctor to trigger their Kartz-Reimer capsule"
636,Timelash: Part One,Sat,9 Mar 1985,5:22pm,00:45:00,6.70m,,66.0,69,"As rebellion grows on Karfel, the Maylin's daughter Vena falls into the Timelash while protecting a rebel. She is drawn into the TARDIS as it travels through a Kontron time tunnel."
637,Timelash: Part Two,Sat,16 Mar 1985,5:21pm,00:44:36,7.40m,,64.0,79,The Borad accepts no opposition and enables Maylin Tekker to expose the rebels and trap Peri with the Morlox. The Doctor tries to avert a war between Karfel and the Bandrils.
638,Revelation of the Daleks: Part One,Sat,23 Mar 1985,5:21pm,00:44:31,7.40m,,67.0,65,The Doctor and Peri visit Necros to pay their last respects to Professor Arthur Stengos. The Daleks and the Great Healer are also on Necros but what do they want?
639,Revelation of the Daleks: Part Two,Sat,30 Mar 1985,5:22pm,00:45:27,7.70m,,65.0,58,An assassin plots to murder Davros and the Doctor admits to Peri they are in great danger
640,The Trial Of A Time Lord (The Mysterious Planet): Part One,Sat,6 Sep 1986,5:46pm,00:24:57,4.90m,,72.0,69,"Placed on trial by his peers, the Doctor is forced to watch events from his past, beginning with an incident on Ravolox involving the curiously named Marb Arch."
641,The Trial Of A Time Lord (The Mysterious Planet): Part Two,Sat,13 Sep 1986,5:46pm,00:24:44,4.90m,,69.0,75,"The Doctor has an appointment with the Immortal, while Peri finds herself caught up with Glitz and the Tribe of the Free. Meanwhile, Merdeen begins to question all he believes."
642,The Trial Of A Time Lord (The Mysterious Planet): Part Three,Sat,20 Sep 1986,5:47pm,00:24:18,3.90m,,70.0,98,"With the black light converter destroyed, the Doctor fears for the planet's safety and needs to find the Secrets of the Sleepers and discover why they are there."
643,The Trial Of A Time Lord (The Mysterious Planet): Part Four,Sat,27 Sep 1986,5:46pm,00:24:20,3.70m,,72.0,97,The Doctor is foxed by Drathro's logic so it takes Glitz's blunt lies to buy them some time until Ravolox can be saved. Meanwhile the Tribe make a foolhardly attack on Marb Arch.
644,The Trial Of A Time Lord (Mindwarp): Part Five,Sat,4 Oct 1986,5:47pm,00:24:42,4.80m,,71.0,76,"The next story the Valeyard shows the Doctor sees the TARDIS arrives on Thoros-Beta, homeworld of the Mentors and the Doctor's old foe, Sil..."
645,The Trial Of A Time Lord (Mindwarp): Part Six,Sat,11 Oct 1986,5:45pm,00:24:45,4.60m,,69.0,87,The scientist Crozier keeps making empty promises and Yrcanos and Peri are seemingly betrayed by the addled Doctor who is sure the Matrix is being manipulated
646,The Trial Of A Time Lord (Mindwarp): Part Seven,Sat,18 Oct 1986,5:47pm,00:24:33,5.10m,,66.0,87,"Kiv's brain rejects his new body and Crozier is forced to rethink his plan. From the trial room, the Doctor can only watch as Peri and Yrcanos appear to be killed."
647,The Trial Of A Time Lord (Mindwarp): Part Eight,Sat,25 Oct 1986,5:47pm,00:24:44,5.00m,,72.0,84,"As the Possidor Ambassador visits, Sil is appalled to realise Crozier has selected Peri to be the Kiv's new host body - a move Yrcanos takes exception to with devastating results."
648,The Trial Of A Time Lord (Terror of the Vervoids): Part Nine,Sat,1 Nov 1986,5:47pm,00:24:56,5.20m,,66.0,85,The Doctor and Mel are taking a rest aboard the Hyperion III when a series of murders lead them to suspect there is more to Professor Laskey's party than initially appears.
649,The Trial Of A Time Lord (Terror of the Vervoids): Part Ten,Sat,8 Nov 1986,5:45pm,00:24:18,4.60m,,69.0,93,"The Vervoids begin to attack the crew and passengers, while someone kills a Mogarian who isn't really a Mogarian at all, but an old friend of the Doctor's"
650,The Trial Of A Time Lord (Terror of the Vervoids): Part Eleven,Sat,15 Nov 1986,5:46pm,00:24:07,5.30m,,69.0,86,"The Commadore loses command of his ship as Bruchner takes over the bridge, intending to send the Hyperion III into the black hole of Tartarus to destroy the Vervoids forever."
651,The Trial Of A Time Lord (Terror of the Vervoids): Part Twelve,Sat,22 Nov 1986,5:45pm,00:24:45,5.20m,,69.0,89,"The Doctor realises that if he can speed up the Vervoids life span with light, they will decay. Using vionesium, he does so, unwittingly causing genocide in the process"
652,The Trial Of A Time Lord (The Ultimate Foe): Part Thirteen,Sat,29 Nov 1986,5:19pm,00:24:42,4.40m,,69.0,98,"The Valeyard's true identity is revealed and the trial aborted, but the Doctor and Mel must pursue his new enemy into the Matrix itself, where nothing is quite what is seems"
653,The Trial Of A Time Lord (The Ultimate Foe): Part Fourteen,Sat,6 Dec 1986,5:45pm,00:29:30,5.60m,,69.0,80,"Mel realises that the Valeyard has created a weapon within the Matrix that will destroy the Time Lords, and the Doctor is forced to rely on the Master for help."
654,Time and the Rani: Part One,Mon,7 Sep 1987,7:35pm,00:24:44,5.10m,,58.0,71,A newly regenerated Doctor is taken to the Rani's base by Urak the Tetrap. Meanwhile Mel meets some of the Lakertyans and falls into one of the Rani's traps.
655,Time and the Rani: Part Two,Mon,14 Sep 1987,7:34pm,00:24:36,4.20m,,63.0,85,"The Rani's impersonation of Mel backfires badly because Urak can't tell the difference, while the Doctor attempts to learn the secret of the Loyhargil."
656,Time and the Rani: Part Three,Mon,21 Sep 1987,7:35pm,00:24:23,4.30m,,57.0,81,"The furious Rani begins to slaughter the Lakertyans, so Mel rallies the survivors. The Doctor is readied to donate his mind to the Rani's grotesque experiment"
657,Time and the Rani: Part Four,Mon,28 Sep 1987,7:35pm,00:24:38,4.90m,,59.0,86,"As Mel convinces the Lakertyans fight back, the Tetraps turn on the Rani and the Doctor ensures the missile is deflected away from the asteroid."
658,Paradise Towers: Part One,Mon,5 Oct 1987,7:34pm,00:24:33,4.50m,,61.0,88,"The legendary Paradise Towers is supposed to be the height of luxury but when the Doctor and Mel arrive, they find it is as far from paradise as possible"
659,Paradise Towers: Part Two,Mon,12 Oct 1987,7:37pm,00:24:39,5.20m,,58.0,84,"With the Doctor condemned to death by the caretakers and their bizarre rulebook, Mel faces cannibalistic OAPS. Is Pex going to be the true hero of Paradise Towers?"
660,Paradise Towers: Part Three,Mon,19 Oct 1987,7:36pm,00:24:30,5.00m,,58.0,79,Mel and Pex play cat and mouse with the lethal cleaner robots while the Doctor and the surviving Kangs learn all about Kroagnon the Great Architect.
661,Paradise Towers: Part Four,Mon,26 Oct 1987,7:35pm,00:24:21,5.00m,,57.0,93,Kroagnon has been reborn and is using the Chief Caretaker's reanimated corpse to move around Paradise Towers. To stop him the Doctor must teach the residents teamwork.
662,Delta and the Bannermen: Part One,Mon,2 Nov 1987,7:34pm,00:24:47,5.30m,,63.0,90,"The Doctor and Mel win a trip to Disneyland in 1959 but after an accident in space, they end up in South Wales instead, along with an assassin and his intended victim"
663,Delta and the Bannermen: Part Two,Mon,9 Nov 1987,7:35pm,00:24:23,5.10m,,60.0,93,"Gavrok and the Bannermen have arrived on Earth, searching for Delta. They slaughter the holidaymakers without compunction to draw her out."
664,Delta and the Bannermen: Part Three,Mon,16 Nov 1987,7:35pm,00:24:22,5.40m,,60.0,87,"As Billy and Ray do what they can to help save Delta and the baby, the Doctor and Goronwy the beekeeper face Gavrok and his Bannermen one last time"
665,Dragonfire: Part One,Mon,23 Nov 1987,7:37pm,00:24:01,5.50m,,61.0,80,"On Iceworld, the Doctor and Mel meet Ace, who has found herself there after a timestorm. While Ace nearly joins Kane's mercenaries, the Doctor and Glitz explore the ice caverns."
666,Dragonfire: Part Two,Mon,30 Nov 1987,7:35pm,00:24:40,4.00m,,61.0,96,"The Doctor and Glitz meet the infamous dragon, which is really a biomechanoid. Meanwhile Kane turns on his allies, as he cannot trust anyone in his search for the dragonfire"
667,Dragonfire: Part Three,Mon,7 Dec 1987,7:35pm,00:24:26,4.70m,,64.0,94,"Shown the archive by the biomechanoid, the Doctor discovers that Kane is from the dead world of Proamon. Mel witnesess the destruction of the Nosferatu and Ace faces temptation."
668,Remembrance of the Daleks: Part One,Wed,5 Oct 1988,7:34pm,00:24:33,5.50m,,68.0,78,"In Shoreditch, 1963, the Doctor's past begins to catch up with him At the Totter's Lane junkyard where his adventures began, an old terror is returning."
669,Remembrance of the Daleks: Part Two,Wed,12 Oct 1988,7:35pm,00:24:31,5.80m,,69.0,78,"Renegade Daleks battle Imperial Daleks for control of the Hand of Omega. Ace takes them on single-handedly at Coal Hill School, while Ratcliffe makes his move."
670,Remembrance of the Daleks: Part Three,Wed,19 Oct 1988,7:34pm,00:24:30,5.10m,,70.0,91,The Doctor discovers the difference between the two Dalek factions and why they want a stellar manipulator. He hopes Captain Gilmore's people are up to the task ahead
671,Remembrance of the Daleks: Part Four,Wed,26 Oct 1988,7:34pm,00:24:36,5.00m,,72.0,96,"The streets of East London shake under a civil war being fought between the Daleks and the Doctor forces the Dalek Emperor to reveal himself to be Davros, waging one more battle."
672,The Happiness Patrol: Part One,Wed,2 Nov 1988,7:35pm,00:24:51,5.30m,,67.0,96,"The Happiness Patrol walk the streets of Terra Alpha, destroying all the killjoys, on the orders of the despotic Helen A. And in the Kandy Kitchen, something terrible lurks"
673,The Happiness Patrol: Part Two,Wed,9 Nov 1988,7:35pm,00:24:48,4.60m,,65.0,104,"The Doctor escapes the Kandyman while Ace meets the Pipe People. Later, fleeing for her life, she is captured and selected to audition for the Happiness Patrol."
674,The Happiness Patrol: Part Three,Wed,16 Nov 1988,7:35pm,00:24:25,5.30m,,65.0,88,"As the Doctor leads the Pipe People towards reclaiming their world, Helen A faces betrayal from those closest to her and the Kandyman comes to a sticky end."
675,Silver Nemesis: Part One,Wed,23 Nov 1988,7:35pm,00:24:31,6.10m,,71.0,76,A group of neo-Nazis in South America are seeking the Nemesis Statue  as is a shuttle full of Cybermen and the mysterious Lady Peinforte from the 17th century.
676,Silver Nemesis: Part Two,Wed,30 Nov 1988,7:35pm,00:24:12,5.20m,,70.0,94,"The Cybermen have the Nemesis Statue but Lady Peinforte and Richard fight back using gold-tipped arrows. Meanwhile, De Flores still has a plan to set in motion."
677,Silver Nemesis: Part Three,Wed,7 Dec 1988,7:34pm,00:24:36,5.20m,,70.0,98,"The Nemesis Statue is alive, thanks to Lady Peinforte's insanity, and with De Flores's Nazis wiped out by the Cybermen, Nemesis claims it has secrets to reveal"
678,The Greatest Show in the Galaxy: Part One,Wed,14 Dec 1988,7:34pm,00:24:23,5.00m,,68.0,86,"Bellboy and Flowerchild escape the Psychic Circus but are pursued by the Chief Clown. The Doctor and Ace meet other visitors to Segonax, some of whom are not what they seem..."
679,The Greatest Show in the Galaxy: Part Two,Wed,21 Dec 1988,7:35pm,00:24:20,5.30m,,66.0,99,"The mysterious family watching the acts within the ring,dissatisfied with Nord, destroy him. Captain Cook goes to extreme measures to ensure he's not the next to displease them..."
680,The Greatest Show in the Galaxy: Part Three,Wed,28 Dec 1988,7:39pm,00:24:30,4.80m,,69.0,108,Ace and Bellboy team up to stop the Chief Clown while the Doctor realises that he is next into the ring. The Captain has another trick up his sleeve and shows Mags's true colours.
681,The Greatest Show in the Galaxy: Part Four,Wed,4 Jan 1989,7:37pm,00:24:24,6.60m,,64.0,79,"The Gods of Ragnarok are revealed and while waiting for Ace to escape the Chief Clown, the Doctor must entertain them as long as possible in the dimension of the Dark Circus..."
682,Battlefield: Part One,Wed,6 Sep 1989,7:35pm,00:24:06,3.10m,,69.0,102,"As UNIT are transporting a nuclear warhead around Carbury, knights in armour arrive to continue waging a war that began thousands of years ago, but in a wholly different dimension."
683,Battlefield: Part Two,Wed,13 Sep 1989,7:34pm,00:24:07,3.90m,,68.0,91,"The Doctor and Ace explore King Arthur's spaceship deep under Lake Vortigern, while Brigadier Lethbridge-Stewart arrives in Carbury where he encounters Morgaine."
684,Battlefield: Part Three,Wed,20 Sep 1989,7:35pm,00:24:13,3.60m,,67.0,95,"Furious at her inability to find and engage Arthur in battle, Morgaine threatens to unleash the Destroyer upon the planet unless the Doctor gives her what she wants."
685,Battlefield: Part Four,Wed,27 Sep 1989,7:34pm,00:24:14,4.00m,,65.0,89,The Brigadier slays the Destroyer while Morgaine takes control of UNIT's nuclear warhead and prepares to start a countdown that will destroy Earth forever.
686,Ghost Light: Part One,Wed,4 Oct 1989,7:34pm,00:24:17,4.20m,,68.0,94,The Doctor and Ace explore Victorian house Gabriel Chase and realise it hides just as many dark secrets in its drawing room as it does in its dark cellar.
687,Ghost Light: Part Two,Wed,11 Oct 1989,7:34pm,00:24:18,4.00m,,68.0,93,"The Doctor and Scotland Yard's finest, Inspector Mackenzie, attempt to question Josiah Smith while both Light and Control emerge from their respective slumbers"
688,Ghost Light: Part Three,Wed,18 Oct 1989,7:35pm,00:24:17,4.00m,,64.0,104,"Only Redvers, still searching for the elusive Saxe-Coburg, seems able to withstand Light and communicate with Control. Ace realises her past actions need to be dealt with"
689,The Curse of Fenric: Part One,Wed,25 Oct 1989,7:34pm,00:24:23,4.30m,,67.0,104,"As Russian forces approach the English coastline, an ancient evil stirs beneath the surface of the water. For Ace and the Doctor, a deadly game of revenge has begun"
690,The Curse of Fenric: Part Two,Wed,1 Nov 1989,7:34pm,00:24:09,4.00m,,68.0,104,"The Viking runes in the crypt contain a secret to Ace's past. Meanwhile, Millington and Judson's Ultima machine offer to break the chains of the Wolves of Fenric."
691,The Curse of Fenric: Part Three,Wed,8 Nov 1989,7:34pm,00:24:11,4.00m,,68.0,104,"The Haemovores attack St Jude's church and the insane Millington willingly sacrifices his men. Doctor Judson dies, only to be reborn as the true evil - Fenric himself."
692,The Curse of Fenric: Part Four,Wed,15 Nov 1989,7:34pm,00:24:16,4.20m,,68.0,104,"The Ancient Haemovore stands upon Earth once again, determined to change the future by erasing the past. Ace finally feels love for her mother."
693,Survival: Part One,Wed,22 Nov 1989,7:35pm,00:24:14,5.00m,,69.0,89,"Trying to work out why people have been disappearing from Perivale, Ace is cornered by Kara, a Cheetah-Person who transports her to a far-off planet"
694,Survival: Part Two,Wed,29 Nov 1989,7:35pm,00:24:13,4.80m,,69.0,96,"The Doctor and a number of people from Perivale follow Ace to the Cheetah-People's world, where the Master lies in wait. He cannot leave without the Doctor's assistance."
695,Survival: Part Three,Wed,6 Dec 1989,7:35pm,00:24:20,5.00m,,71.0,91,"As the alien world dies around them, the Doctor and the Master fight like animals before escaping to Earth, where their war ends. And somewhere else, the tea is getting cold"
696,The TV Movie,Mon,27 May 1996,8:29pm,01:24:39,9.08m,36.0%,75.0,17,
697,Rose,Sat,26 Mar 2005,7:00pm,00:44:14,10.81m,44.8%,76.0,7,
698,The End Of The World,Sat,2 Apr 2005,6:59pm,00:44:45,7.97m,37.8%,76.0,19,
699,The Unquiet Dead,Sat,9 Apr 2005,7:00pm,00:44:50,8.86m,37.8%,80.0,15,
700,Aliens of London,Sat,16 Apr 2005,7:00pm,00:45:05,7.63m,35.7%,82.0,18,
201,Fury From the Deep: Episode 4,Sat,6 Apr 1968,5:15pm,00:24:17,6.60m,,56.0,62,"Investigating the impeller shaft, Van Lutyens is overwhelmed by the weed creature. A call comes from one of the off-shore rigs  the weed creatures are attacking and taking over!"
202,Fury From the Deep: Episode 5,Sat,13 Apr 1968,5:15pm,00:23:40,5.90m,,56.0,73,"As the weed breaks into the Pipeline Room at the refinery, the deranged Chief Robson kidnaps Victoria in a helicopter and heads for the Control Rig."
203,Fury From the Deep: Episode 6,Sat,20 Apr 1968,5:15pm,00:24:24,6.90m,,57.0,42,The Weed has complete control of Chief Robson and threatens to conquer Earth. The Doctor searches for a means to defeat the creature and believes the answer may be Victoria
204,The Wheel In Space: Episode 1,Sat,27 Apr 1968,5:15pm,00:23:47,7.20m,,57.0,40,"The Doctor and Jamie are forced to abandon the TARDIS when the mercury fluid link explodes, finding themselves aboard a spacecraft called the Silver Carrier."
205,The Wheel In Space: Episode 2,Sat,4 May 1968,5:16pm,00:22:50,6.90m,,60.0,59,The Doctor and Jamie are rescued and taken aboard the Wheel space station. Jamie sabotages the Wheel's laser to save the TARDIS from destruction but places everyone in danger.
206,The Wheel In Space: Episode 3,Sat,11 May 1968,5:15pm,00:24:25,7.50m,,55.0,40,"Cybermats are sent to the Wheel to eat the stations supply of bernalium, forcing the Wheel to search for bernalium on the Silver Carrier where the Cybermen are waiting for them."
207,The Wheel In Space: Episode 4,Sat,18 May 1968,6:00pm,00:24:14,8.60m,,56.0,28,The station is in danger of being destroyed by the approaching meteor storm. The Cybermen are smuggled aboard the Wheel and begin to take control of the crew.
208,The Wheel In Space: Episode 5,Sat,25 May 1968,5:16pm,00:21:55,6.80m,,57.0,44,"The Cybermen reveal their plans to invade Earth, using the Wheel as a guiding beacon. The Doctor sends Jamie and Zoe on a dangerous spacewalk to the Silver Carrier."
209,The Wheel In Space: Episode 6,Sat,1 Jun 1968,6:06pm,00:23:10,6.50m,,62.0,51,"The Doctor and the crew of the Wheel battle valiantly against the invading Cybermen, but to defeat the approaching fleet of Cyber ships, the Doctor needs a vital component from the TARDIS."
210,The Dominators: Episode 1,Sat,10 Aug 1968,5:15pm,00:24:25,6.10m,,52.0,54,"The TARDIS lands on the peaceful planet of Dulkis. There, the Doctor, Jamie and Zoe discover that the ruthless Dominators have arrived and are enslaving the inhabitants with their deadly robots, the Quarks.The Doctor and his crew must prevent the destruction of the planet and help the Dulcians fight back."
211,The Dominators: Episode 2,Sat,17 Aug 1968,5:14pm,00:24:07,5.90m,,55.0,61,"The Doctor and Jamie are taken captive by the Dominators and subjected to intelligence tests. Zoe heads to the Dulcian capital to request help, but the pacifist Dulcians are reluctant to act."
212,The Dominators: Episode 3,Sat,24 Aug 1968,5:15pm,00:24:06,5.40m,,55.0,65,"Zoe and the Dulcians are captured by the Quarks and set to work. Unable to convince the Dulcian council of the Dominator threat, the Doctor returns to the island to rescue Zoe."
213,The Dominators: Episode 4,Sat,31 Aug 1968,5:14pm,00:23:54,7.50m,,51.0,33,Jamie and Cully fight back against the Quarks but Dominator Toba threatens the lives of his prisoners if they do not identify the culprits.
214,The Dominators: Episode 5,Sat,7 Sep 1968,5:14pm,00:24:19,5.90m,,53.0,64,"The Doctor hatches a plan to intercept the Dominators' atomic seed pod as it is dropped into the planet's core. If he fails, the whole of Dulkis will be destroyed."
215,The Mind Robber: Episode 1,Sat,14 Sep 1968,5:17pm,00:22:20,6.60m,,51.0,55,"The Doctor activates an emergency unit on board the TARDIS to escape destruction by a volcanic eruption.Unfortunately, it moves them out of normal space and time to a deadly world where fantasy rules. The travelers find themselves lured out of the ship into a ghostly white void."
216,The Mind Robber: Episode 2,Sat,21 Sep 1968,5:18pm,00:21:39,6.50m,,49.0,54,"Arriving in the Land of Fiction, the Doctor searches for his companions in a forest of words. Clockwork soldiers are on the prowl and fictional characters come to life."
217,The Mind Robber: Episode 3,Sat,28 Sep 1968,5:19pm,00:19:29,7.20m,,53.0,45,"With the help of Rapunzel, Jamie escapes from a clockwork soldier into the citadel where he makes a discovery. The Doctor and Zoe are confronted by the mythological minotaur."
218,The Mind Robber: Episode 4,Sat,5 Oct 1968,5:19pm,00:19:14,7.30m,,56.0,44,"The Doctor, Jamie and Zoe are captured by the White Robots in the Citadel and are taken to meet the Master of the Land of Fiction who has a proposition for the Doctor."
219,The Mind Robber: Episode 5,Sat,12 Oct 1968,5:20pm,00:18:00,6.70m,,49.0,84,"The Doctor engages in a battle with the Master, both summoning characters from fiction to fight each other. If the Doctor loses, he will be trapped in the Land of Fiction forever."
220,The Invasion: Episode One,Sat,2 Nov 1968,5:15pm,00:24:32,7.30m,,55.0,55,"The TARDIS lands in London where the Doctor, Jamie and Zoe agree to help find Isobel Watkins' missing uncle.Searching for Professor Watkins at his last place of work, a multinational electronics supplier, he meets the company's managing director. He's not what he seems - and possesses alien technology in his office."
221,The Invasion: Episode Two,Sat,9 Nov 1968,5:15pm,00:24:26,7.10m,,53.0,55,"Alistair Gordon Lethbridge-Stewart, now a UN Brigadier, confirms to the Doctor that there is something suspicious occurring at International Electromatics.Zoe and Isobel's investigation places them in terrible danger, and Jamie tries to save them."
