episodenbr,role,name
603,Sea Devil,Steve Kelly (uncredited)
603,Sea Devil,Chris Wolff (uncredited)
603,Sea Devil,Jules Walters (uncredited)
603,Sea Devil,Mike Brayburn (uncredited)
603,Sea Devil,Dave Ould (uncredited)
604,The Doctor,Peter Davison
604,Tegan,Janet Fielding
604,Turlough,Mark Strickson
604,Vorshak,Tom Adams
604,Solow,Ingrid Pitt
604,Nilson,Ian McCulloch
604,Bulic,Nigel Humphreys
604,Maddox,Martin Neil
604,Preston,Tara Ward
604,Icthar,Norman Comer
604,Karina,Nitza Saul
604,Scibus,Stuart Blake
604,Tarpok,Vincent Brimble
604,Sauvix,Christopher Farries
604,Paroli,James Coombes
604,Marine/Guard,Julian Hudson (uncredited)
604,Marine/Guard,Barney Lawrence (uncredited)
604,Marine/Guard,Peter Caton (uncredited)
604,Marine/Guard,Dana Miche (uncredited)
604,Marine/Guard,Julian Larousse (uncredited)
604,Marine/Guard,Rose Pridmore (uncredited)
604,Marine/Guard,Dorothy Ottey (uncredited)
604,Marine/Guard,Ridgewell Hawkes (uncredited)
604,Marine/Guard,Trevor Steedman (uncredited)
604,Sea Base Personnel,Joanna Garcia (uncredited)
604,Sea Base Personnel,Ling Tai (uncredited)
604,Sea Base Personnel,Joycea Goborn (uncredited)
604,Sea Base Personnel,Arnold Lee (uncredited)
604,Sea Base Personnel,Russell Brook (uncredited)
604,Sea Devil,Steve Kelly (uncredited)
604,Sea Devil,Chris Wolff (uncredited)
604,Sea Devil,Jules Walters (uncredited)
604,Sea Devil,Mike Brayburn (uncredited)
604,Sea Devil,Dave Ould (uncredited)
604,Myrka,John Asquith (uncredited)
604,Myrka,Bill Perrie (uncredited)
605,The Doctor,Peter Davison
605,Tegan,Janet Fielding
605,Turlough,Mark Strickson
605,Vorshak,Tom Adams
605,Solow,Ingrid Pitt
605,Nilson,Ian McCulloch
605,Maddox,Martin Neil
605,Bulic,Nigel Humphreys
605,Preston,Tara Ward
605,Icthar,Norman Comer
605,Scibus,Stuart Blake
605,Tarpok,Vincent Brimble
605,Sauvix,Christopher Farries
605,Paroli,James Coombes
605,Marine/Guard,Julian Hudson (uncredited)
605,Marine/Guard,Barney Lawrence (uncredited)
605,Marine/Guard,Peter Caton (uncredited)
605,Marine/Guard,Dana Miche (uncredited)
605,Marine/Guard,Julian Larousse (uncredited)
605,Marine/Guard,Rose Pridmore (uncredited)
605,Marine/Guard,Dorothy Ottey (uncredited)
605,Marine/Guard,Ridgewell Hawkes (uncredited)
605,Marine/Guard,Trevor Steedman (uncredited)
605,Sea Base Personnel,Joanna Garcia (uncredited)
605,Sea Base Personnel,Ling Tai (uncredited)
605,Sea Base Personnel,Joycea Goborn (uncredited)
605,Sea Base Personnel,Arnold Lee (uncredited)
605,Sea Base Personnel,Russell Brook (uncredited)
605,Sea Devil,Steve Kelly (uncredited)
605,Sea Devil,Chris Wolff (uncredited)
605,Sea Devil,Jules Walters (uncredited)
605,Sea Devil,Mike Brayburn (uncredited)
605,Sea Devil,Dave Ould (uncredited)
605,Myrka,John Asquith (uncredited)
605,Myrka,Bill Perrie (uncredited)
606,The Doctor,Peter Davison
606,Tegan,Janet Fielding
606,Turlough,Mark Strickson
606,Vorshak,Tom Adams
606,Bulic,Nigel Humphreys
606,Preston,Tara Ward
606,Icthar,Norman Comer
606,Sauvix,Christopher Farries
606,Scibus,Stuart Blake
606,Tarpok,Vincent Brimble
606,Paroli,James Coombes (uncredited)
606,Sea Devil,Steve Kelly (uncredited)
606,Sea Devil,Chris Wolff (uncredited)
606,Sea Devil,Jules Walters (uncredited)
606,Sea Devil,Mike Brayburn (uncredited)
606,Sea Devil,Dave Ould (uncredited)
607,The Doctor,Peter Davison
607,Tegan,Janet Fielding
607,Turlough,Mark Strickson
607,Jane Hampden,Polly James
607,Sir George,Denis Lill
607,Colonel Wolsey,Glyn Houston
607,Joseph Willow,Jack Galloway
607,Will Chandler,Keith Jayne
607,Trooper,Christopher Saul
607,Drummer,Drummer Tuite (uncredited)
607,Drummer,Sergeant Cooney (uncredited)
607,Half-Blind Man,John Kearns (uncredited)
607,Trooper,Brian Coshall (uncredited)
607,Trooper,Christopher Wenner (uncredited)
607,Trooper,David Cole (uncredited)
607,Trooper,David Medina (uncredited)
607,Trooper,Gordon Williams (uncredited)
607,Trooper,Harold Gasnier (uncredited)
607,Trooper,Robert Crake (uncredited)
607,Trooper,Rod Keyes (uncredited)
607,Trooper,Ron Martin (uncredited)
607,Trooper,Roy MacDonald (uncredited)
607,Voice of Kamelion,Gerald Flood (filming report)
607,(extra),Cameron Turnbull (uncredited)
607,(extra),Peter Price (uncredited)
608,The Doctor,Peter Davison
608,Tegan,Janet Fielding
608,Turlough,Mark Strickson
608,Jane Hampden,Polly James
608,Sir George,Denis Lill
608,Colonel Wolsey,Glyn Houston
608,Joseph Willow,Jack Galloway
608,Andrew Verney,Frederick Hall
608,Will Chandler,Keith Jayne
608,Trooper,Christopher Saul
608,Drummer,Drummer Tuite (uncredited)
608,Drummer,Sergeant Cooney (uncredited)
608,Face and Torso,Jimmy Mac (uncredited)
608,Phantom Trooper,Scott Free (uncredited)
608,Phantom Trooper,Sean McCabe (uncredited)
608,Trooper,Bob Tarff (uncredited)
608,Trooper,Nigel Tisdall (uncredited)
608,Trooper,Peter Dukes (uncredited)
608,Villager,Barry Lindsay (uncredited)
608,Villager,Beryl Lindsay (uncredited)
608,Villager,Bryan Godfrey (uncredited)
608,Villager,Dean Lindsay (uncredited)
608,Villager,Denis Costello (uncredited)
608,Villager,Denise Harland (uncredited)
608,Villager,Diana Beames (uncredited)
608,Villager,Douglas Thorne (uncredited)
608,Villager,Jeanette Walton (uncredited)
608,Villager,Joan Hulton (uncredited)
608,Villager,Mavis Linter (uncredited)
608,Villager,Ray Sargent (uncredited)
608,Villager,Ruth Stewart (uncredited)
608,Villager,Shirley Morgan (uncredited)
608,Villager,Susan Lyle (uncredited)
608,Villager,Vaughan Collins (uncredited)
609,The Doctor,Peter Davison
609,Tegan,Janet Fielding
609,Turlough,Mark Strickson
609,Brazen,Peter Gilmore
609,Norna,Lesley Dunlop
609,Range,William Lucas
609,Plantagenet,Jeff Rawle
609,Cockerill,Maurice O'Connell
609,Orderly,Richard Ashley
609,Stunts,Nick Wilkinson (uncredited)
609,Warnsman,Jim Dowdall (uncredited)
609,Captain Revere,John Beardmore (uncredited)
609,Orderly,John Greening (uncredited)
609,Orderly,Keith Norish (uncredited)
609,Orderly,Daniel D'Arcy (uncredited)
609,Orderly,Barry McKenna (uncredited)
609,Orderly,Miles Ross (uncredited)
609,Orderly,Chris Holmes (uncredited)
609,Orderly,Ian Marshall (uncredited)
609,Orderly,John Hamilton Russell (uncredited)
609,Orderly,John Hamilton Russell (uncredited)
609,Patient,Sue Somerset (uncredited)
609,Patient,Rita Daniels (uncredited)
609,Patient,Barbie Denham (uncredited)
609,Patient,Jay McGrath (uncredited)
609,Patient,Joe Phillips (uncredited)
609,Patient,Michael Jefferies (uncredited)
609,Paramedic,Kevin Goss (uncredited)
609,Paramedic,Dominic Reyntiens (uncredited)
609,Paramedic,Linda Kent (uncredited)
609,Paramedic,Judy Collins (uncredited)
609,Colonist,Monica Ramone (uncredited)
609,Colonist,Penny Rigden (uncredited)
609,Colonist,Judith Jeffery (uncredited)
609,Colonist,Caroline Hatch (uncredited)
609,Colonist,Robert Peters (uncredited)
609,Colonist,Fernando Monast (uncredited)
609,Colonist,Robert Goodman (uncredited)
609,Colonist,Laurie Goode (uncredited)
609,Colonist,Peter Gates Fleming (uncredited)
609,Colonist,Terry Bradford (uncredited)
610,The Doctor,Peter Davison
610,Tegan,Janet Fielding
610,Turlough,Mark Strickson
610,Brazen,Peter Gilmore
610,Norna,Lesley Dunlop
610,Range,William Lucas
610,Plantagenet,Jeff Rawle
610,Gravis,John Gillett
610,Cockerill,Maurice O'Connell
610,Tractator,George Campbell
610,Tractator,Michael Malcolm
610,Tractator,Stephen Speed
610,Tractator,William Bowen
610,Tractator,Hedi Khursandi
610,Colonist,Caroline Hatch (uncredited)
610,Colonist,Fernando Monast (uncredited)
610,Colonist,Judith Jeffery (uncredited)
610,Colonist,Laurie Goode (uncredited)
610,Colonist,Monica Ramone (uncredited)
610,Colonist,Penny Rigden (uncredited)
610,Colonist,Peter Gates Fleming (uncredited)
610,Colonist,Peter Gates Fleming (uncredited)
610,Colonist,Robert Goodman (uncredited)
610,Colonist,Robert Peters (uncredited)
610,Colonist,Terry Bradford (uncredited)
610,Orderly,Barry McKenna (uncredited)
610,Orderly,Chris Holmes (uncredited)
610,Orderly,Daniel D'Arcy (uncredited)
610,Orderly,Ian Marshall (uncredited)
610,Orderly,John Greening (uncredited)
610,Orderly,John Hamilton Russell (uncredited)
610,Orderly,Keith Norish (uncredited)
610,Orderly,Miles Ross (uncredited)
610,Paramedic,Judy Collins (uncredited)
610,Paramedic,Kevin Goss (uncredited)
610,Paramedic,Linda Kent (uncredited)
610,Patient,Barbie Denham (uncredited)
611,The Doctor,Peter Davison
611,Tegan,Janet Fielding
611,Turlough,Mark Strickson
611,Brazen,Peter Gilmore
611,Norna,Lesley Dunlop
611,Range,William Lucas
611,Plantagenet,Jeff Rawle
611,Gravis,John Gillett
611,Cockerill,Maurice O'Connell
611,Deputy,Alison Skilbeck
611,Retrograde,Raymond Murtagh
611,Tractator,George Campbell
611,Tractator,Michael Malcolm
611,Tractator,Stephen Speed
611,Tractator,William Bowen
611,Tractator,Hedi Khursandi
611,Captain Revere,John Beardmore (uncredited)
611,Colonist,Caroline Hatch (uncredited)
611,Colonist,Fernando Monast (uncredited)
611,Colonist,Judith Jeffery (uncredited)
611,Colonist,Laurie Goode (uncredited)
611,Colonist,Monica Ramone (uncredited)
611,Colonist,Penny Rigden (uncredited)
611,Colonist,Peter Gates Fleming (uncredited)
611,Colonist,Robert Goodman (uncredited)
611,Colonist,Robert Peters (uncredited)
611,Colonist,Terry Bradford (uncredited)
611,Orderly,Barry McKenna (uncredited)
611,Orderly,Chris Holmes (uncredited)
611,Orderly,Daniel D'Arcy (uncredited)
611,Orderly,Ian Marshall (uncredited)
611,Orderly,John Greening (uncredited)
611,Orderly,John Hamilton Russell (uncredited)
611,Orderly,Keith Norish (uncredited)
611,Orderly,Miles Ross (uncredited)
611,Retrograde,Anthony Freeman (uncredited)
611,Retrograde,James Lyon (uncredited)
611,Retrograde,Mike Mulloy (uncredited)
611,Retrograde,Peter Creasey (uncredited)
611,Retrograde,Terence Brook (uncredited)
612,The Doctor,Peter Davison
612,Tegan,Janet Fielding
612,Turlough,Mark Strickson
612,Brazen,Peter Gilmore
612,Norna,Lesley Dunlop
612,Range,William Lucas
612,Gravis,John Gillett
612,Plantagenet,Jeff Rawle
612,Cockerill,Maurice O'Connell
612,Retrograde,Raymond Murtagh
612,Tractator,George Campbell
612,Tractator,Michael Malcolm
612,Tractator,Stephen Speed
612,Tractator,William Bowen
612,Tractator,Hedi Khursandi
612,Captain Revere,John Beardmore (uncredited)
612,Colonist,Caroline Hatch (uncredited)
612,Colonist,Fernando Monast (uncredited)
612,Colonist,Judith Jeffery (uncredited)
612,Colonist,Laurie Goode (uncredited)
612,Colonist,Monica Ramone (uncredited)
612,Colonist,Penny Rigden (uncredited)
612,Colonist,Peter Gates Fleming (uncredited)
612,Colonist,Robert Goodman (uncredited)
612,Colonist,Robert Peters (uncredited)
612,Colonist,Terry Bradford (uncredited)
612,Fighting Retrograde,Steve Emerson (uncredited)
612,Orderly,Barry McKenna (uncredited)
612,Orderly,Chris Holmes (uncredited)
612,Orderly,Daniel D'Arcy (uncredited)
612,Orderly,Ian Marshall (uncredited)
612,Orderly,John Greening (uncredited)
612,Orderly,John Hamilton Russell (uncredited)
612,Orderly,Keith Norish (uncredited)
612,Orderly,Miles Ross (uncredited)
612,Retrograde,Anthony Freeman (uncredited)
612,Retrograde,James Lyon (uncredited)
612,Retrograde,Mike Mulloy (uncredited)
612,Retrograde,Peter Creasey (uncredited)
612,Retrograde,Terence Brook (uncredited)
613,The Doctor,Peter Davison
613,Tegan,Janet Fielding
613,Turlough,Mark Strickson
613,Stien,Rodney Bewes
613,Styles,Rula Lenska
613,Colonel Archer,Del Henney
613,Lytton,Maurice Colbourne
613,Professor Laird,Chloe Ashcroft
613,Sergeant Calder,Philip McGough
613,Davros,Terry Molloy
613,Mercer,Jim Findley
613,Osborn,Sneh Gupta
613,Kiston,Les Grantham
613,Trooper,Roger Davenport
613,Crewmember,John Adam Baker
613,Crewmember,Linsey Turner
613,Galloway,William Sleigh
613,Dalek Voice,Brian Miller
613,Dalek Voice,Royce Mills
613,Dalek Operator,John Scott Martin
613,Dalek Operator,Cy Town
613,Dalek Operator,Tony Starr
613,Dalek Operator,Toby Byrne
613,(extra),Peter Roy (uncredited)
613,(extra),Albert Welch (uncredited)
613,(extra),Kevin Goss (uncredited)
613,(extra),Sean McCabe (uncredited)
613,(extra),Barney Lawrence (uncredited)
613,(extra),Michael Jefferies (uncredited)
613,(extra),Kevin O'Brien (uncredited)
613,(extra),Simon Crane (uncredited)
613,(extra),Trevor St. John Hacker (uncredited)
613,(extra),Jeff Wayne (uncredited)
613,(extra),Tony Liotti (uncredited)
613,(extra),Martin Nelson (uncredited)
613,(extra),Mike Mungarvan (uncredited)
613,(extra),Alan Riches (uncredited)
613,(extra),Michael Braben (uncredited)
613,(extra),Pat Judge (uncredited)
613,(extra),Robert Goodman (uncredited)
613,(extra),Ginny Rose (uncredited)
613,(extra),Eric Corlett (uncredited)
613,(extra),Penny Lambirth (uncredited)
613,(extra),Nigel Tisdall (uncredited)
613,(extra),Mair Coleman (uncredited)
613,(extra),George Christie (uncredited)
613,(extra),Rudolf Ramillo (uncredited)
613,(extra),Ranjit Nakara (uncredited)
613,(extra),Ian Marshall Fisher (uncredited)
613,(extra),Kenneth Lawrie (uncredited)
613,(extra),Mike Viden (uncredited)
613,(extra),Della McCrae (uncredited)
613,(extra),Derek Holt (uncredited)
613,(extra),Alan Crisp (uncredited)
613,(extra),Ulric Brown (uncredited)
614,The Doctor,Peter Davison
614,Tegan,Janet Fielding
614,Turlough,Mark Strickson
614,Stien,Rodney Bewes
614,Styles,Rula Lenska
614,Colonel Archer,Del Henney
614,Lytton,Maurice Colbourne
614,Professor Laird,Chloe Ashcroft
614,Sergeant Calder,Philip McGough
614,Davros,Terry Molloy
614,Mercer,Jim Findley
614,Kiston,Les Grantham
614,Trooper,Roger Davenport
614,Crewmember,Linsey Turner
614,Dalek Voice,Brian Miller
614,Dalek Voice,Royce Mills
614,Dalek Operator,John Scott Martin
614,Dalek Operator,Cy Town
614,Dalek Operator,Tony Starr
614,Dalek Operator,Toby Byrne
614,(extra),Tim Lawrence (uncredited)
614,(extra),Kevin Goss (uncredited)
614,(extra),Sean McCabe (uncredited)
614,(extra),Barney Lawrence (uncredited)
614,(extra),Christopher Wolf (uncredited)
614,(extra),Martin Nelson (uncredited)
614,(extra),Simon Crane (uncredited)
614,(extra),Trevor St. John Hacker (uncredited)
614,(extra),Jeff Wayne (uncredited)
614,(extra),Tony Liotti (uncredited)
614,(extra),Alan Riches (uncredited)
614,(extra),Michael Eriera (uncredited)
614,(extra),Mike Mungarvan (uncredited)
614,(extra),Adrian Scott (uncredited)
614,Duplication Body,Graham Cole (uncredited)
614,(extra),Kenneth Lawrie (uncredited)
614,(extra),Ranjit Nakara (uncredited)
614,(extra),Della McCrae (uncredited)
614,(extra),George Christie (uncredited)
614,(extra),Nigel Tisdall (uncredited)
614,(extra),Eric Corlett (uncredited)
614,(extra),Alan Crisp (uncredited)
614,(extra),Mair Coleman (uncredited)
614,(extra),Ginny Rose (uncredited)
614,(extra),Des O'Brien (uncredited)
615,The Doctor,Peter Davison
615,Turlough,Mark Strickson
615,Timanov,Peter Wyngarde
615,Kamelion,Anthony Ainley
615,Peri,Nicola Bryant
615,Sorasta,Barbara Shelley
615,Amyand,James Bate
615,Professor Howard Foster,Dallas Adams
615,Voice of Kamelion,Gerald Flood
615,Malkon,Edward Highmore
615,Roskal,Jonathan Caplan
615,Curt,Michael Bangerter
615,Lookout,Simon Sutton
615,Kamelion,Dallas Adams (uncredited)
615,Kamelion,Anthony Ainley (uncredited)
615,Boatman,Miguel Anse Lopez (uncredited)
615,Boatman,Severino Reyes Perdonl (uncredited)
615,Diver,Manolo Rodriguez (uncredited)
615,Citizen,Ian Marshall-Fisher (uncredited)
615,Citizen,Andy Andreas (uncredited)
615,Citizen,Barbara Burnell (uncredited)
615,Citizen,Robert Smythe (uncredited)
615,Citizen,Brychen Powell (uncredited)
615,Citizen,David Payne (uncredited)
615,Citizen,Jenny Piper (uncredited)
615,Citizen,Jill Goldston (uncredited)
615,Citizen,Mary Rennie (uncredited)
615,Citizen,Pat Pelton (uncredited)
615,Citizen,Paul Barton (uncredited)
615,Citizen,Penny Lambirth (uncredited)
615,Citizen,Rosalind Kendal (uncredited)
615,Citizen,Stuart Myers (uncredited)
615,Citizen,Valero Martinez (uncredited)
615,Customer,Mrs Bangerter (uncredited)
615,Elder,Colin Thomas (uncredited)
615,Elder,Donald Groves (uncredited)
615,Elder,Harry Lewis (uncredited)
615,Elder,Terry Rendal (uncredited)
615,Guard,David Rogue (uncredited)
615,Guard,Derek Hunt (uncredited)
615,Guard,Robin Bond (uncredited)
615,Guard,Steven Arnely (uncredited)
615,Passer,Carmelo de Leon Thusado (uncredited)
615,Passer,Dominez Hernandez Tornedo (uncredited)
615,Passer,Enrique Romiles Lubgauwa (uncredited)
615,Passer,Migua Aoyes Perdoma (uncredited)
616,The Doctor,Peter Davison
616,Turlough,Mark Strickson
616,Timanov,Peter Wyngarde
616,The Master,Anthony Ainley
616,Peri,Nicola Bryant
616,Sorasta,Barbara Shelley
616,Amyand,James Bate
616,Howard,Dallas Adams
616,Voice of Kamelion,Gerald Flood
616,Malkon,Edward Highmore
616,Roskal,Jonathan Caplan
616,Lookout,Simon Sutton
616,Zuko,Max Arthur
616,Kamelion,Anthony Ainley (uncredited)
616,Citizen,Ian Marshall-Fisher (uncredited)
616,Citizen,Andy Andreas (uncredited)
616,Citizen,Barbara Burnell (uncredited)
616,Citizen,Robert Smythe (uncredited)
616,Citizen,Brychen Powell (uncredited)
616,Citizen,David Payne (uncredited)
616,Citizen,Jenny Piper (uncredited)
616,Citizen,Jill Goldston (uncredited)
616,Citizen,Mary Rennie (uncredited)
616,Citizen,Pat Pelton (uncredited)
616,Citizen,Paul Barton (uncredited)
616,Citizen,Penny Lambirth (uncredited)
616,Citizen,Rosalind Kendal (uncredited)
616,Citizen,Stuart Myers (uncredited)
616,Citizen,Valero Martinez (uncredited)
616,Elder,Colin Thomas (uncredited)
616,Elder,Donald Groves (uncredited)
616,Elder,Harry Lewis (uncredited)
616,Elder,Terry Rendal (uncredited)
616,Guard,David Rogue (uncredited)
616,Guard,Derek Hunt (uncredited)
616,Guard,Robin Bond (uncredited)
616,Guard,Steven Arnely (uncredited)
616,Guard,Steven Arnely (uncredited)
617,The Doctor,Peter Davison
617,Turlough,Mark Strickson
617,Timanov,Peter Wyngarde
617,The Master,Anthony Ainley
617,Peri,Nicola Bryant
617,Sorasta,Barbara Shelley
617,Amyand,James Bate
617,Howard,Dallas Adams
617,Malkon,Edward Highmore
617,Roskal,Jonathan Caplan
617,Kamelion,Anthony Ainley (uncredited)
617,Citizen,Ian Marshall-Fisher (uncredited)
617,Citizen,Andy Andreas (uncredited)
617,Citizen,Barbara Burnell (uncredited)
617,Citizen,Robert Smythe (uncredited)
617,Citizen,Brychen Powell (uncredited)
617,Citizen,David Payne (uncredited)
617,Citizen,Jenny Piper (uncredited)
617,Citizen,Jill Goldston (uncredited)
617,Citizen,Mary Rennie (uncredited)
617,Citizen,Pat Pelton (uncredited)
617,Citizen,Paul Barton (uncredited)
617,Citizen,Penny Lambirth (uncredited)
617,Citizen,Rosalind Kendal (uncredited)
617,Citizen,Stuart Myers (uncredited)
617,Citizen,Valero Martinez (uncredited)
617,Elder,Colin Thomas (uncredited)
617,Elder,Donald Groves (uncredited)
617,Elder,Harry Lewis (uncredited)
617,Elder,Terry Rendal (uncredited)
617,Guard,David Rogue (uncredited)
617,Guard,Derek Hunt (uncredited)
617,Guard,Robin Bond (uncredited)
617,Guard,Steven Arnely (uncredited)
618,The Doctor,Peter Davison
618,Turlough,Mark Strickson
618,Timanov,Peter Wyngarde
618,The Master,Anthony Ainley
618,Peri,Nicola Bryant
618,Sorasta,Barbara Shelley
618,Amyand,James Bate
618,Professor Howard Foster,Dallas Adams
618,Malkon,Edward Highmore
618,Roskal,Jonathan Caplan
618,Lomand,John Alkin
618,Citizen,Ian Marshall-Fisher (uncredited)
618,Citizen,Andy Andreas (uncredited)
618,Citizen,Barbara Burnell (uncredited)
618,Citizen,Robert Smythe (uncredited)
618,Citizen,Brychen Powell (uncredited)
618,Citizen,David Payne (uncredited)
618,Citizen,Jenny Piper (uncredited)
618,Citizen,Jill Goldston (uncredited)
618,Citizen,Mary Rennie (uncredited)
618,Citizen,Pat Pelton (uncredited)
618,Citizen,Paul Barton (uncredited)
618,Citizen,Penny Lambirth (uncredited)
618,Citizen,Rosalind Kendal (uncredited)
618,Citizen,Stuart Myers (uncredited)
618,Citizen,Valero Martinez (uncredited)
618,Elder,Colin Thomas (uncredited)
618,Elder,Donald Groves (uncredited)
618,Elder,Harry Lewis (uncredited)
618,Elder,Terry Rendal (uncredited)
618,Guard,David Rogue (uncredited)
618,Guard,Derek Hunt (uncredited)
618,Guard,Robin Bond (uncredited)
618,Guard,Steven Arnely (uncredited)
618,Distorted Voice,John Alkin (uncredited)
618,Trion,Ray Knight (uncredited)
618,Kamelion,Anthony Ainley (uncredited)
619,The Doctor,Peter Davison
619,Peri,Nicola Bryant
619,Sharaz Jek,Christopher Gable
619,Morgus,John Normington
619,Salateen,Robert Glenister
619,Stotz,Maurice Roëves
619,General Chellak,Martin Cochrane
619,Krelper,Roy Holder
619,Timmin,Barbara Kinghorn
619,President,David Neal
619,Thin Stranger,Keith Harvey (uncredited)
619,Signals Voice,Ian Staples (uncredited)
620,The Doctor,Peter Davison
620,Peri,Nicola Bryant
620,Sharaz Jek,Christopher Gable
620,Morgus,John Normington
620,Salateen,Robert Glenister
620,Stotz,Maurice Roëves
620,General Chellak,Martin Cochrane
620,Krelper,Roy Holder
620,Timmin,Barbara Kinghorn
620,President,David Neal
620,Soldier,Derek Briggs (uncredited)
620,Soldier,Daryl Brook (uncredited)
620,Soldier,Pat Gorman (uncredited)
620,Soldier,Brian Jacobs (uncredited)
620,Soldier,Jerry Judge (uncredited)
620,Soldier,Ray Martin (uncredited)
620,Soldier,Sean McCabe (uncredited)
620,Soldier,Harry Payne (uncredited)
620,Soldier,Steve Roxton (uncredited)
620,Soldier,Douglas Stark (uncredited)
